id,id_pelicula,id_usuario,puntuacion,fecha
,s324,215,2.2,2019-07-01
,s2856,578,8.5,2021-03-01
,s359,15,5.3,2018-11-01
,s1080,883,6.4,2021-06-01
,s1202,185,7.5,2020-09-01
,s1729,462,6.6,2021-08-01
,s3362,632,3.1,2019-02-01
,s7762,361,3.3,2023-12-01
,s8764,414,4.7,2023-05-01
,s5642,918,7.4,2022-02-01
,s3210,996,7.4,2021-09-01
,s1592,473,3.4,2022-03-01
,s2715,629,2.7,2023-08-01
,s5008,619,6.8,2023-01-01
,s3300,193,2.9,2020-03-01
,s64,361,2.0,2019-07-01
,s767,927,4.2,2021-10-01
,s6747,129,6.1,2021-12-01
,s5178,129,7.3,2021-08-01
,s5813,24,9.7,2020-05-01
,s6699,402,4.3,2018-12-01
,s3207,506,3.7,2019-05-01
,s4207,205,5.0,2023-06-01
,s1311,34,8.9,2022-02-01
,s6522,645,4.6,2018-04-01
,s6882,237,6.8,2018-10-01
,s6766,778,4.3,2022-12-01
,s7301,404,9.3,2020-12-01
,s6816,729,8.3,2020-01-01
,s5458,948,3.1,2019-03-01
,s2797,740,9.8,2021-06-01
,s1290,216,8.8,2023-01-01
,s7761,385,3.8,2022-10-01
,s3507,6,3.5,2020-08-01
,s6597,326,1.3,2019-12-01
,s3096,148,1.6,2018-03-01
,s7052,480,5.8,2023-06-01
,s5625,399,7.3,2020-09-01
,s6884,510,1.0,2023-02-01
,s4359,836,7.1,2022-09-01
,s1399,399,1.4,2022-01-01
,s5057,995,1.0,2020-05-01
,s4498,573,8.9,2021-09-01
,s3014,908,3.2,2022-09-01
,s457,127,6.7,2022-03-01
,s5056,759,8.7,2019-11-01
,s3472,554,3.2,2019-11-01
,s2056,546,6.1,2018-05-01
,s1585,902,9.4,2022-03-01
,s8412,620,2.0,2023-08-01
,s8797,241,9.9,2018-01-01
,s5945,238,3.9,2019-04-01
,s1523,420,6.9,2023-06-01
,s3478,996,7.0,2021-10-01
,s1309,417,8.1,2021-08-01
,s6608,483,9.3,2023-10-01
,s1333,642,2.1,2021-03-01
,s6675,248,2.1,2021-11-01
,s3015,388,2.1,2023-03-01
,s4009,467,1.1,2018-07-01
,s7007,182,8.5,2022-01-01
,s5239,897,10.0,2018-03-01
,s3753,123,1.9,2023-05-01
,s6084,891,5.7,2018-12-01
,s337,394,3.0,2018-11-01
,s516,383,10.0,2021-03-01
,s2560,368,6.7,2018-02-01
,s152,816,4.3,2019-03-01
,s7435,862,8.5,2019-02-01
,s846,906,8.9,2023-10-01
,s8350,782,8.5,2018-07-01
,s994,561,9.5,2023-06-01
,s3183,872,8.7,2019-05-01
,s4055,490,9.5,2020-11-01
,s4971,796,7.4,2021-05-01
,s4221,758,5.8,2018-08-01
,s7062,428,7.0,2018-11-01
,s4411,639,4.2,2021-04-01
,s581,506,2.6,2021-02-01
,s5200,916,5.6,2022-10-01
,s3916,664,4.1,2018-11-01
,s1561,922,1.2,2020-10-01
,s5343,628,7.3,2023-02-01
,s7435,469,2.9,2023-10-01
,s7173,151,10.0,2023-08-01
,s7157,361,9.4,2022-04-01
,s557,932,8.1,2019-11-01
,s794,425,1.7,2019-05-01
,s5511,840,3.5,2023-01-01
,s5987,398,5.9,2018-01-01
,s3646,106,9.5,2020-05-01
,s8708,249,6.5,2019-06-01
,s1307,603,6.7,2020-07-01
,s1409,640,6.0,2020-04-01
,s6780,768,1.6,2022-12-01
,s2270,471,3.9,2020-09-01
,s5551,592,5.0,2023-01-01
,s265,714,9.6,2023-12-01
,s6398,910,3.3,2023-09-01
,s4137,939,6.3,2019-06-01
,s7991,275,7.6,2022-05-01
,s4529,473,3.6,2020-02-01
,s3545,903,2.7,2018-05-01
,s5755,750,4.4,2023-08-01
,s3231,812,5.6,2018-06-01
,s7190,973,7.0,2018-05-01
,s1281,974,7.6,2018-03-01
,s4088,830,2.2,2022-04-01
,s1153,431,2.1,2023-11-01
,s3450,443,7.2,2020-03-01
,s3681,803,2.7,2022-09-01
,s6923,906,1.0,2019-10-01
,s702,276,1.9,2022-03-01
,s4138,242,3.6,2020-04-01
,s3060,530,3.5,2019-06-01
,s1867,410,3.0,2020-12-01
,s1403,398,3.9,2023-11-01
,s4528,950,8.7,2022-03-01
,s5919,133,4.6,2023-01-01
,s4391,441,8.9,2022-10-01
,s8009,771,8.0,2018-03-01
,s7220,895,6.8,2023-11-01
,s3865,448,8.6,2021-11-01
,s8783,867,7.0,2022-01-01
,s7935,529,5.5,2023-01-01
,s3204,781,7.1,2019-11-01
,s7510,145,5.5,2021-02-01
,s2592,564,1.0,2018-03-01
,s4587,952,7.0,2020-04-01
,s8291,591,2.0,2023-10-01
,s781,945,8.7,2021-12-01
,s8043,857,2.1,2018-12-01
,s5475,502,3.9,2023-04-01
,s7452,550,2.9,2019-10-01
,s2631,685,2.3,2021-01-01
,s3062,128,2.0,2023-03-01
,s1664,912,7.9,2021-07-01
,s5245,870,6.0,2019-03-01
,s1188,600,5.3,2020-01-01
,s5400,587,2.6,2022-04-01
,s6911,534,6.6,2022-11-01
,s5346,420,6.8,2019-08-01
,s6853,862,4.6,2019-02-01
,s7444,696,9.4,2022-02-01
,s2974,123,4.8,2023-05-01
,s4925,719,5.7,2021-07-01
,s5403,60,2.0,2022-09-01
,s23,39,2.4,2022-10-01
,s3258,570,6.3,2020-06-01
,s2223,155,2.5,2018-08-01
,s2000,958,5.9,2023-03-01
,s3182,761,1.2,2020-08-01
,s6212,994,2.4,2018-09-01
,s1887,743,6.2,2019-11-01
,s7244,652,7.2,2020-09-01
,s8379,109,1.2,2022-05-01
,s4294,121,6.9,2020-06-01
,s1513,850,2.2,2021-04-01
,s2242,693,1.9,2022-07-01
,s7796,684,2.6,2023-08-01
,s21,129,6.1,2021-05-01
,s2223,502,6.2,2019-08-01
,s1530,66,2.5,2021-10-01
,s8691,494,7.9,2022-09-01
,s72,586,3.0,2019-03-01
,s3835,361,6.0,2019-05-01
,s6747,67,1.9,2020-02-01
,s4378,34,9.2,2022-11-01
,s2472,360,4.6,2020-10-01
,s2753,528,9.4,2019-09-01
,s297,175,4.2,2020-11-01
,s785,920,3.2,2018-08-01
,s1468,177,2.6,2021-09-01
,s5938,721,8.6,2019-03-01
,s5965,906,8.8,2020-02-01
,s2090,41,8.1,2022-10-01
,s771,531,1.0,2019-01-01
,s5048,47,1.7,2018-04-01
,s5663,193,1.8,2018-10-01
,s3337,552,5.2,2022-11-01
,s780,663,9.6,2019-12-01
,s4393,352,7.5,2023-02-01
,s5485,734,10.0,2023-02-01
,s3874,572,7.7,2019-09-01
,s1241,472,8.8,2023-05-01
,s287,334,9.5,2019-03-01
,s3588,737,3.4,2023-12-01
,s289,974,2.7,2023-12-01
,s7944,552,9.3,2019-07-01
,s8272,916,7.9,2020-11-01
,s8708,229,4.2,2022-07-01
,s3491,901,7.3,2019-12-01
,s8162,967,8.4,2018-04-01
,s1613,363,5.8,2022-02-01
,s8254,202,8.9,2022-12-01
,s2288,146,6.0,2022-03-01
,s5095,894,3.0,2019-03-01
,s3146,441,6.3,2021-09-01
,s3762,622,6.7,2020-11-01
,s635,704,6.2,2023-09-01
,s8590,177,2.5,2023-04-01
,s7403,930,2.5,2019-06-01
,s7548,776,4.3,2022-10-01
,s6515,42,4.3,2022-10-01
,s5474,251,8.0,2020-04-01
,s8323,183,5.0,2023-05-01
,s1584,900,6.7,2023-04-01
,s739,345,1.1,2021-03-01
,s3523,427,3.3,2019-02-01
,s97,464,1.3,2023-01-01
,s3078,852,5.7,2019-08-01
,s6063,950,7.2,2018-12-01
,s2763,288,8.0,2019-12-01
,s6041,503,1.5,2021-08-01
,s1320,636,8.2,2019-07-01
,s2771,141,7.8,2018-07-01
,s5790,151,5.3,2021-10-01
,s6868,215,9.1,2020-10-01
,s6849,437,4.0,2021-08-01
,s7812,919,6.4,2022-04-01
,s4734,192,9.8,2023-07-01
,s5924,292,1.1,2021-12-01
,s1031,604,2.9,2019-04-01
,s7926,805,7.1,2023-03-01
,s1099,787,1.0,2021-06-01
,s2538,719,9.6,2021-12-01
,s4375,867,4.1,2021-07-01
,s2221,594,8.9,2023-03-01
,s4275,962,4.7,2019-03-01
,s8453,217,1.6,2021-03-01
,s7769,761,3.3,2021-08-01
,s4950,846,4.6,2022-02-01
,s8090,581,3.8,2020-01-01
,s3273,605,2.0,2020-11-01
,s99,427,10.0,2023-10-01
,s8803,11,1.3,2019-09-01
,s2459,147,1.9,2020-07-01
,s7347,688,3.5,2019-02-01
,s6280,463,8.3,2023-10-01
,s8765,311,10.0,2019-08-01
,s1436,762,7.8,2023-10-01
,s6419,644,5.4,2021-06-01
,s5424,416,4.9,2020-06-01
,s798,579,3.7,2018-07-01
,s3711,144,5.7,2018-01-01
,s3714,494,4.2,2018-09-01
,s5785,252,6.7,2018-02-01
,s4304,990,7.8,2022-09-01
,s8298,252,7.6,2021-09-01
,s6377,996,5.3,2020-12-01
,s1911,272,3.8,2023-08-01
,s2939,376,2.9,2022-12-01
,s3116,480,1.0,2023-12-01
,s8011,553,6.9,2020-05-01
,s6535,47,5.7,2019-08-01
,s6296,830,2.8,2018-10-01
,s6142,66,1.6,2022-11-01
,s8030,75,6.0,2019-06-01
,s953,13,1.7,2021-10-01
,s2678,416,5.8,2021-03-01
,s6372,25,8.8,2022-04-01
,s2715,578,9.5,2019-07-01
,s5021,251,4.6,2022-12-01
,s7288,877,7.0,2018-10-01
,s7029,442,8.7,2021-07-01
,s1340,919,8.6,2019-01-01
,s7264,802,3.1,2021-04-01
,s3665,33,9.6,2020-08-01
,s3279,72,6.6,2023-03-01
,s2443,613,3.6,2018-06-01
,s4285,947,5.3,2020-11-01
,s7124,813,3.1,2022-06-01
,s4460,575,4.4,2023-03-01
,s3504,673,1.0,2019-11-01
,s2732,691,1.7,2021-11-01
,s5201,261,7.2,2022-09-01
,s1296,68,5.9,2019-12-01
,s6226,164,4.1,2018-05-01
,s3994,83,8.2,2023-07-01
,s8296,261,8.0,2020-01-01
,s3369,62,2.4,2022-11-01
,s720,945,7.7,2021-02-01
,s328,120,8.4,2021-02-01
,s7770,346,8.9,2020-02-01
,s2497,910,3.9,2023-04-01
,s3521,304,3.0,2020-04-01
,s3532,379,9.6,2021-01-01
,s462,533,1.1,2023-03-01
,s5591,157,4.5,2021-05-01
,s8728,678,2.9,2023-04-01
,s3390,38,7.9,2023-10-01
,s1636,214,2.0,2019-05-01
,s6830,340,3.8,2019-07-01
,s8188,376,1.8,2018-06-01
,s7245,877,9.2,2021-08-01
,s769,255,3.1,2022-02-01
,s3174,585,9.1,2019-09-01
,s956,168,4.4,2020-03-01
,s1063,690,9.2,2022-08-01
,s7042,960,8.7,2019-02-01
,s3920,431,9.7,2020-09-01
,s8255,687,8.0,2021-06-01
,s1191,786,9.9,2018-09-01
,s3817,904,6.5,2020-10-01
,s953,277,6.7,2018-04-01
,s1520,466,7.4,2022-11-01
,s4381,968,4.2,2020-07-01
,s6628,431,2.6,2021-11-01
,s2945,701,4.0,2021-06-01
,s1141,146,4.2,2021-04-01
,s8188,149,1.3,2022-07-01
,s2201,794,9.6,2021-05-01
,s105,556,9.8,2019-08-01
,s4718,198,5.6,2022-01-01
,s1078,644,4.1,2023-10-01
,s7485,795,9.9,2023-08-01
,s7695,714,4.7,2020-12-01
,s8398,261,5.0,2023-03-01
,s3831,258,8.9,2018-10-01
,s7539,749,7.0,2019-11-01
,s1360,609,6.8,2023-02-01
,s8011,588,2.0,2018-06-01
,s8060,717,5.0,2018-02-01
,s869,945,5.1,2020-01-01
,s2339,2,1.5,2020-10-01
,s1902,442,5.7,2020-12-01
,s605,798,2.8,2019-02-01
,s2543,45,1.6,2018-06-01
,s6925,333,1.8,2018-05-01
,s5701,439,4.4,2018-10-01
,s8525,23,1.5,2021-11-01
,s5944,656,2.0,2020-02-01
,s3720,573,8.2,2021-04-01
,s522,15,8.9,2021-08-01
,s8738,421,7.0,2019-10-01
,s951,312,5.4,2020-12-01
,s8071,213,4.4,2023-09-01
,s7468,701,7.5,2022-05-01
,s5718,242,6.3,2018-11-01
,s770,495,6.3,2020-04-01
,s2311,15,5.9,2020-12-01
,s2055,485,3.3,2021-01-01
,s6629,211,6.5,2021-06-01
,s4583,852,3.1,2023-01-01
,s3993,674,6.4,2018-08-01
,s6785,709,2.9,2019-05-01
,s63,921,9.4,2022-11-01
,s2588,171,1.4,2019-07-01
,s4116,808,9.9,2022-08-01
,s5072,898,1.3,2019-06-01
,s2709,451,2.0,2022-07-01
,s5844,773,8.6,2021-05-01
,s5135,355,4.0,2018-11-01
,s3585,473,7.8,2021-10-01
,s7057,98,1.3,2021-04-01
,s6020,986,9.9,2018-06-01
,s7179,497,4.4,2022-08-01
,s3358,996,9.5,2020-01-01
,s4790,348,6.4,2022-07-01
,s6281,966,1.2,2021-02-01
,s7813,85,7.5,2021-09-01
,s1521,906,4.4,2020-06-01
,s7757,703,9.5,2023-10-01
,s3440,113,3.9,2020-10-01
,s1253,498,9.0,2019-11-01
,s4054,990,4.5,2021-04-01
,s6050,544,7.1,2022-06-01
,s6811,402,9.6,2022-02-01
,s2384,682,10.0,2022-10-01
,s6126,994,5.8,2020-08-01
,s4907,433,2.0,2018-02-01
,s2234,209,9.5,2020-04-01
,s624,192,7.4,2023-05-01
,s7871,207,1.6,2022-03-01
,s6413,303,2.3,2018-08-01
,s6911,66,7.6,2022-03-01
,s2741,662,5.4,2020-07-01
,s7480,305,6.4,2019-01-01
,s4819,910,2.0,2022-07-01
,s963,575,7.5,2019-12-01
,s1930,349,8.3,2019-11-01
,s7563,409,2.9,2021-09-01
,s4264,343,1.2,2018-10-01
,s4320,127,7.8,2023-12-01
,s7411,872,9.4,2021-02-01
,s5765,835,10.0,2022-04-01
,s1117,620,8.0,2021-12-01
,s5550,355,1.1,2022-06-01
,s1279,559,1.7,2019-02-01
,s5551,855,3.5,2023-08-01
,s1963,744,9.7,2019-03-01
,s2992,227,3.9,2023-06-01
,s8502,464,4.3,2018-04-01
,s2365,512,2.7,2018-04-01
,s3570,881,8.0,2022-09-01
,s1171,569,1.3,2018-05-01
,s4049,909,2.2,2022-09-01
,s4520,216,6.1,2020-02-01
,s6552,866,8.5,2022-12-01
,s7739,265,8.1,2018-03-01
,s3480,946,3.8,2021-06-01
,s771,174,8.0,2023-09-01
,s5408,375,2.9,2023-06-01
,s7704,218,4.1,2023-08-01
,s3514,970,8.8,2022-12-01
,s7426,142,8.2,2019-12-01
,s5129,755,9.8,2019-06-01
,s8558,876,6.1,2018-04-01
,s198,543,1.9,2018-06-01
,s7726,402,7.0,2019-08-01
,s6331,506,8.3,2018-06-01
,s6035,916,6.1,2020-06-01
,s997,359,1.7,2019-05-01
,s6485,941,8.6,2022-01-01
,s843,524,6.2,2023-04-01
,s784,989,7.4,2021-07-01
,s7358,865,10.0,2020-03-01
,s441,844,1.0,2020-05-01
,s8032,198,3.9,2021-02-01
,s937,739,9.7,2022-11-01
,s6637,281,7.1,2018-05-01
,s93,932,8.3,2021-03-01
,s7043,24,7.5,2022-03-01
,s1775,967,1.0,2023-10-01
,s3146,463,2.1,2022-08-01
,s2856,218,3.0,2018-11-01
,s751,342,2.0,2020-12-01
,s4218,475,3.4,2021-07-01
,s2011,359,7.0,2018-11-01
,s8080,806,2.4,2019-12-01
,s100,538,2.3,2021-06-01
,s7540,612,7.2,2021-06-01
,s5431,667,8.2,2022-10-01
,s1612,963,5.1,2019-10-01
,s5638,139,3.7,2021-05-01
,s5899,374,5.8,2023-12-01
,s3576,221,9.9,2023-05-01
,s5737,608,9.1,2022-08-01
,s2247,865,6.6,2023-04-01
,s6458,873,7.9,2018-12-01
,s4307,463,7.2,2018-12-01
,s3964,101,3.1,2022-05-01
,s8421,831,1.7,2020-08-01
,s5123,424,6.7,2020-12-01
,s4164,72,4.0,2020-10-01
,s6140,362,5.5,2022-05-01
,s287,782,3.8,2022-10-01
,s4381,835,9.7,2021-09-01
,s4208,410,2.6,2023-05-01
,s1239,786,1.1,2020-09-01
,s390,592,1.4,2023-07-01
,s7479,165,3.0,2021-06-01
,s8518,536,9.9,2018-11-01
,s7280,49,9.4,2020-01-01
,s3130,726,1.1,2020-11-01
,s2226,961,2.4,2023-08-01
,s1831,894,6.0,2019-06-01
,s1183,387,1.3,2023-10-01
,s607,487,4.2,2018-07-01
,s5344,983,2.3,2019-11-01
,s6548,531,7.1,2020-05-01
,s5924,438,7.5,2021-05-01
,s8411,116,8.3,2021-09-01
,s8385,569,8.9,2022-10-01
,s764,107,3.0,2022-08-01
,s527,538,4.1,2022-09-01
,s83,433,3.4,2019-07-01
,s6660,463,9.7,2021-01-01
,s1992,8,8.3,2019-03-01
,s5288,974,8.8,2018-04-01
,s6641,907,2.7,2020-12-01
,s2973,486,2.5,2023-10-01
,s7552,682,4.3,2019-07-01
,s1149,988,1.7,2019-10-01
,s4435,534,6.7,2023-09-01
,s3790,465,6.5,2023-05-01
,s714,383,1.8,2020-05-01
,s4604,876,9.6,2023-06-01
,s5283,668,9.6,2023-12-01
,s5529,80,7.5,2023-08-01
,s5450,754,5.4,2021-11-01
,s1163,547,4.7,2018-10-01
,s2579,133,6.1,2023-03-01
,s5141,3,7.6,2022-03-01
,s745,117,3.1,2021-04-01
,s464,219,7.5,2021-07-01
,s8509,824,4.5,2018-04-01
,s6615,253,9.4,2018-12-01
