id,show_id,user_id,rating,date
85,s4345,125,3.6,2021-02-01
86,s5943,205,3.4,2018-09-01
87,s8394,81,9.0,2019-11-01
88,s4168,132,9.1,2021-04-01
89,s741,374,7.9,2021-08-01
90,s7392,469,7.1,2020-02-01
91,s458,131,6.1,2018-01-01
92,s8686,188,7.1,2021-01-01
93,s1626,265,6.1,2020-11-01
94,s4869,424,4.7,2019-04-01
95,s6913,352,9.6,2021-07-01
96,s5354,231,9.5,2021-05-01
97,s7186,59,9.1,2023-04-01
98,s7015,226,5.6,2019-06-01
99,s6792,83,1.5,2018-07-01
100,s8472,171,9.2,2022-11-01
101,s2194,2,5.9,2021-09-01
102,s4110,481,7.4,2018-12-01
103,s2713,255,7.4,2022-08-01
104,s415,262,4.4,2020-07-01
105,s8467,12,1.8,2018-06-01
106,s4805,104,5.2,2021-08-01
107,s7235,271,6.0,2023-02-01
108,s1245,231,4.3,2023-05-01
109,s1499,197,6.9,2019-08-01
110,s3602,148,5.6,2018-06-01
111,s8403,372,5.0,2020-01-01
112,s6975,266,9.6,2022-07-01
113,s8588,274,1.6,2020-11-01
114,s1056,214,3.5,2018-11-01
115,s36,379,6.6,2018-01-01
116,s3181,334,4.5,2023-03-01
117,s2804,199,1.0,2020-08-01
118,s8290,148,1.2,2019-04-01
119,s6646,465,4.3,2022-04-01
120,s5722,194,7.8,2018-02-01
121,s8739,152,3.1,2019-08-01
122,s7430,72,9.4,2019-06-01
123,s6418,392,1.6,2018-11-01
124,s4185,39,10.0,2022-12-01
125,s782,418,9.1,2020-03-01
126,s4318,338,7.9,2018-09-01
127,s2202,491,2.5,2019-07-01
128,s4560,189,3.0,2020-04-01
129,s6775,489,9.9,2021-12-01
130,s1389,323,5.9,2018-04-01
131,s1631,218,7.7,2021-12-01
132,s5059,122,6.5,2021-09-01
133,s7755,79,8.6,2022-10-01
134,s6803,240,1.0,2018-07-01
135,s3113,65,4.4,2023-06-01
136,s4913,314,7.0,2018-09-01
137,s1204,128,8.4,2019-07-01
138,s1987,462,6.2,2018-11-01
139,s3585,115,4.6,2023-02-01
140,s2360,276,3.3,2018-10-01
141,s5192,219,6.4,2018-12-01
142,s86,195,3.7,2019-03-01
143,s3363,173,10.0,2019-03-01
144,s2527,77,6.0,2018-11-01
145,s6189,353,2.2,2020-10-01
146,s2397,316,4.9,2023-06-01
147,s6117,76,3.1,2021-02-01
148,s3660,255,1.9,2018-12-01
149,s8465,437,3.3,2019-05-01
150,s3894,174,2.3,2018-02-01
151,s8230,201,6.1,2018-06-01
152,s5112,239,3.6,2020-01-01
153,s376,234,5.1,2023-11-01
154,s6875,104,5.3,2020-10-01
155,s4203,445,8.9,2020-04-01
156,s8466,47,6.3,2019-08-01
157,s1687,483,9.5,2022-03-01
158,s7722,121,9.1,2018-10-01
159,s3569,396,6.3,2021-02-01
160,s5761,128,2.2,2020-02-01
161,s2248,357,3.1,2019-08-01
162,s2284,464,1.9,2023-02-01
163,s1310,373,4.2,2023-12-01
164,s1536,274,8.5,2019-11-01
165,s6582,144,6.3,2019-07-01
166,s274,491,3.1,2021-06-01
167,s604,287,8.1,2022-09-01
168,s1906,237,3.2,2019-02-01
169,s2880,23,8.4,2021-03-01
170,s8636,311,4.9,2018-03-01
171,s4459,85,9.6,2022-07-01
172,s4392,55,9.1,2018-04-01
173,s7673,34,6.1,2019-10-01
174,s2387,194,3.3,2018-06-01
175,s5202,413,9.1,2022-12-01
176,s3609,44,8.7,2018-07-01
177,s2628,446,3.8,2019-02-01
178,s2280,68,1.2,2023-04-01
179,s2346,251,2.1,2023-05-01
180,s399,89,5.5,2020-10-01
181,s4752,290,5.4,2020-10-01
182,s6013,371,5.2,2018-02-01
183,s6691,278,1.1,2022-08-01
184,s1472,235,4.3,2022-12-01
185,s2533,495,5.4,2020-01-01
186,s679,471,6.4,2018-12-01
187,s542,455,8.3,2020-11-01
188,s2120,277,6.4,2021-01-01
189,s8032,314,1.2,2018-11-01
190,s3,423,2.9,2019-08-01
191,s6134,219,5.1,2021-11-01
192,s5172,20,8.2,2021-12-01
193,s6181,392,9.3,2021-10-01
194,s6123,347,7.8,2018-07-01
195,s1227,269,8.7,2023-11-01
196,s2175,334,1.7,2021-05-01
197,s1539,383,9.3,2019-04-01
198,s4235,79,6.1,2023-06-01
199,s1882,274,9.1,2018-09-01
200,s4386,42,5.4,2019-06-01
201,s2096,166,2.6,2021-07-01
202,s8387,312,2.4,2018-04-01
203,s7654,250,9.2,2019-11-01
204,s6933,487,5.3,2021-06-01
205,s6144,298,2.4,2018-09-01
206,s659,397,8.3,2020-06-01
207,s8130,377,9.1,2020-11-01
208,s3945,473,7.8,2023-01-01
209,s5440,272,3.7,2020-05-01
210,s1463,315,1.6,2018-06-01
211,s3910,284,1.2,2021-03-01
212,s2958,308,8.0,2020-12-01
213,s6264,21,7.0,2021-01-01
214,s5314,497,3.1,2019-07-01
215,s5179,463,2.5,2023-09-01
216,s4420,187,2.9,2018-01-01
217,s8615,35,3.1,2019-03-01
218,s5102,200,3.1,2018-04-01
219,s1325,252,8.2,2022-12-01
220,s1717,478,2.6,2019-01-01
221,s2475,347,7.3,2023-04-01
222,s7623,232,5.4,2023-08-01
223,s8082,248,3.9,2023-01-01
224,s1839,418,8.2,2019-10-01
225,s1079,465,3.4,2018-11-01
226,s6466,82,9.2,2023-09-01
227,s6772,171,8.0,2019-12-01
228,s1653,88,8.7,2019-08-01
229,s4636,116,5.0,2022-01-01
230,s4429,337,5.5,2019-02-01
231,s6874,453,6.5,2020-01-01
232,s8205,487,8.1,2022-11-01
233,s7225,210,7.9,2021-03-01
234,s4155,276,8.8,2020-03-01
235,s2339,44,5.9,2023-04-01
236,s6974,73,9.0,2023-08-01
237,s3199,14,7.5,2022-06-01
238,s3684,126,3.6,2023-09-01
239,s242,418,1.5,2019-06-01
240,s8002,195,8.7,2018-11-01
241,s2804,458,3.3,2019-07-01
242,s1082,302,1.5,2023-01-01
243,s6560,314,7.0,2021-07-01
244,s1328,101,8.6,2023-03-01
245,s367,153,4.2,2018-04-01
246,s7452,400,2.7,2021-03-01
247,s438,140,4.5,2019-05-01
248,s7069,7,9.7,2018-12-01
249,s6829,265,2.8,2022-10-01
250,s3990,458,2.2,2022-05-01
251,s5936,272,5.9,2023-05-01
252,s2291,284,1.6,2022-01-01
253,s5363,429,8.4,2022-03-01
254,s4099,308,7.0,2019-10-01
255,s8245,237,8.4,2023-12-01
256,s6723,9,6.6,2022-08-01
257,s8464,176,6.5,2020-02-01
258,s6802,7,5.3,2022-08-01
259,s2300,126,7.5,2022-09-01
260,s6770,191,3.9,2021-11-01
261,s4132,252,7.4,2023-12-01
262,s8539,462,1.7,2021-04-01
263,s3775,424,4.2,2023-10-01
264,s1301,234,3.5,2020-09-01
265,s6055,467,4.4,2019-03-01
266,s1417,92,2.4,2018-10-01
267,s1654,128,8.2,2018-08-01
268,s7324,31,8.0,2019-05-01
269,s8371,333,5.6,2020-04-01
270,s2713,305,6.8,2022-07-01
271,s248,40,5.7,2019-10-01
272,s5357,240,7.2,2020-04-01
273,s7501,157,1.6,2021-08-01
274,s352,87,5.5,2021-08-01
275,s5981,216,5.4,2022-06-01
276,s8635,380,5.2,2020-07-01
277,s2030,90,9.6,2019-09-01
278,s6375,364,7.1,2022-02-01
279,s5230,382,8.6,2023-06-01
280,s4189,366,9.2,2018-08-01
281,s6819,421,1.8,2022-04-01
282,s123,223,3.2,2022-01-01
283,s5750,335,1.9,2021-03-01
284,s8653,406,3.0,2019-12-01
285,s230,308,7.0,2019-10-01
286,s4160,219,2.8,2021-07-01
287,s7874,64,9.4,2019-06-01
288,s259,102,9.1,2020-12-01
289,s7841,432,6.6,2018-01-01
290,s4272,272,9.7,2020-08-01
291,s5008,226,7.1,2018-05-01
292,s722,359,4.8,2023-02-01
293,s8666,424,2.9,2019-07-01
294,s2750,157,2.4,2022-04-01
295,s2018,41,6.7,2018-10-01
296,s1520,372,4.7,2021-05-01
297,s6776,168,7.8,2019-09-01
298,s8491,147,6.5,2021-04-01
299,s5565,265,4.6,2021-09-01
300,s2637,436,5.2,2022-01-01
301,s3087,115,2.9,2018-11-01
302,s3784,131,7.4,2019-09-01
303,s827,388,7.3,2019-09-01
304,s6463,339,7.3,2020-10-01
305,s6347,317,8.4,2021-05-01
306,s2832,135,9.4,2021-12-01
307,s1396,488,8.1,2019-05-01
308,s923,243,8.8,2021-07-01
309,s7481,204,3.4,2022-11-01
310,s2501,271,2.5,2018-05-01
311,s6051,274,2.7,2021-05-01
312,s461,13,4.0,2022-04-01
313,s8695,81,2.5,2021-01-01
314,s7806,375,1.9,2021-05-01
315,s638,383,8.1,2019-08-01
316,s7122,490,2.2,2019-10-01
317,s8725,36,5.7,2021-08-01
318,s2138,165,1.0,2023-07-01
319,s965,224,8.4,2020-04-01
320,s6216,383,8.5,2021-11-01
321,s1161,497,2.4,2022-03-01
322,s4820,230,5.0,2022-11-01
323,s3783,331,7.4,2020-07-01
324,s2461,71,9.2,2020-11-01
325,s7553,211,4.2,2018-11-01
326,s8208,32,7.4,2021-02-01
327,s414,497,2.3,2023-07-01
328,s1196,391,4.9,2018-12-01
329,s1250,13,5.0,2018-04-01
330,s7024,343,9.8,2020-01-01
331,s5605,356,8.0,2023-04-01
332,s7681,66,5.8,2020-09-01
333,s4944,240,9.8,2018-01-01
334,s1971,18,4.2,2023-02-01
335,s5830,278,8.3,2020-01-01
336,s2728,332,7.4,2018-03-01
337,s482,411,4.7,2020-02-01
338,s8526,474,2.0,2019-08-01
339,s387,84,4.7,2022-12-01
340,s6094,119,9.5,2019-07-01
341,s6600,189,3.9,2023-09-01
342,s4761,477,9.1,2023-06-01
343,s7160,152,5.2,2019-08-01
344,s2024,429,4.8,2020-11-01
345,s1064,314,4.6,2018-03-01
346,s3891,442,8.6,2021-08-01
347,s4458,428,9.1,2022-03-01
348,s2131,194,1.7,2021-12-01
349,s2289,302,8.2,2020-10-01
350,s4593,493,3.2,2023-08-01
351,s3933,49,9.9,2021-11-01
352,s1647,454,2.3,2018-10-01
353,s5440,55,1.5,2021-03-01
354,s3660,406,1.1,2022-11-01
355,s423,107,4.8,2022-10-01
356,s4820,96,9.0,2022-06-01
357,s4000,10,4.7,2022-01-01
358,s119,371,2.1,2021-05-01
359,s1535,326,3.7,2018-11-01
360,s5491,465,9.9,2023-05-01
361,s1322,471,5.1,2018-12-01
362,s310,481,2.4,2018-05-01
363,s1915,120,7.3,2023-10-01
364,s4477,26,1.3,2023-06-01
365,s7208,112,1.3,2023-08-01
366,s448,302,8.4,2022-05-01
367,s1049,477,7.5,2023-06-01
368,s7528,338,2.3,2022-02-01
369,s8610,352,9.8,2019-01-01
370,s4551,285,6.3,2018-03-01
371,s7277,314,3.9,2021-04-01
372,s4889,246,9.8,2022-04-01
373,s2439,446,2.4,2023-10-01
374,s2096,170,2.7,2020-06-01
375,s4445,224,8.4,2022-01-01
376,s1871,204,5.7,2022-02-01
377,s3168,21,4.8,2023-06-01
378,s7327,334,6.7,2020-01-01
379,s7862,277,9.4,2023-03-01
380,s3799,59,5.3,2022-10-01
381,s7361,23,4.6,2021-06-01
382,s7159,236,5.2,2019-05-01
383,s4103,452,8.7,2021-11-01
384,s119,63,2.4,2020-07-01
385,s1111,186,5.5,2022-07-01
386,s7823,354,6.3,2019-10-01
387,s3077,115,7.9,2023-06-01
388,s6737,326,2.2,2021-03-01
389,s4904,214,10.0,2020-12-01
390,s633,385,4.8,2019-05-01
391,s6194,37,9.4,2020-08-01
392,s4105,32,9.7,2021-03-01
393,s3046,196,8.9,2019-07-01
394,s3526,476,9.9,2021-05-01
395,s1502,277,5.0,2022-11-01
396,s7349,340,4.8,2023-08-01
397,s10,477,9.8,2021-01-01
398,s4829,378,7.5,2023-11-01
399,s8704,35,4.9,2023-03-01
400,s1193,85,1.0,2020-05-01
401,s7293,278,5.2,2023-12-01
402,s531,160,8.6,2018-04-01
403,s6567,377,3.4,2021-02-01
404,s8656,40,5.9,2023-10-01
405,s5885,468,6.4,2021-07-01
406,s7614,146,8.3,2023-12-01
407,s4368,416,7.6,2019-08-01
408,s2366,483,3.4,2020-09-01
409,s1821,283,9.9,2022-08-01
410,s6689,467,7.3,2023-11-01
411,s5347,133,2.9,2021-01-01
412,s7701,330,5.1,2018-09-01
413,s4028,382,2.0,2022-09-01
414,s4991,204,2.9,2022-02-01
415,s2624,266,2.7,2019-06-01
416,s5275,99,5.5,2022-02-01
417,s7778,213,6.4,2018-04-01
418,s3408,325,7.2,2021-03-01
419,s6560,495,8.0,2020-04-01
420,s4094,343,8.2,2020-07-01
421,s3552,233,9.6,2020-11-01
422,s6665,65,3.7,2021-08-01
423,s2786,17,3.8,2019-02-01
424,s421,193,5.1,2020-10-01
425,s8151,340,5.1,2020-10-01
426,s2958,494,3.1,2020-01-01
427,s5899,49,4.8,2018-12-01
428,s2517,499,2.7,2021-03-01
429,s7987,263,2.5,2023-09-01
430,s4399,360,7.7,2022-12-01
431,s6310,53,5.9,2018-05-01
432,s4791,34,3.4,2021-09-01
433,s1653,91,1.7,2020-12-01
434,s7390,28,7.0,2023-05-01
435,s4043,351,7.8,2022-10-01
436,s5297,278,3.4,2022-08-01
437,s5218,359,8.8,2018-06-01
438,s6179,383,7.4,2019-01-01
439,s2758,307,3.3,2021-02-01
440,s4457,243,4.2,2021-08-01
441,s7910,428,9.5,2022-01-01
442,s2736,198,6.2,2021-08-01
443,s2896,200,1.6,2020-11-01
444,s4150,170,7.2,2018-07-01
445,s6009,478,1.7,2019-12-01
446,s6479,381,7.4,2019-12-01
447,s6193,440,8.7,2019-08-01
448,s6186,347,7.5,2019-01-01
449,s6869,464,8.9,2022-09-01
450,s406,285,2.8,2022-01-01
451,s7671,333,1.7,2023-08-01
452,s660,456,9.0,2022-08-01
453,s826,158,6.2,2021-11-01
454,s4006,168,7.9,2020-02-01
455,s5915,486,8.1,2018-12-01
456,s3993,30,6.5,2020-07-01
457,s3282,416,5.4,2018-02-01
458,s750,379,1.2,2020-08-01
459,s4868,105,3.2,2018-02-01
460,s6312,179,1.1,2018-01-01
461,s8172,36,5.4,2023-11-01
462,s5227,101,3.8,2019-09-01
463,s7575,383,4.6,2020-02-01
464,s6350,151,1.8,2021-01-01
465,s6486,329,8.2,2021-09-01
466,s7338,57,5.1,2018-06-01
467,s8650,288,7.0,2023-12-01
468,s7899,304,9.9,2021-10-01
469,s8405,281,9.3,2023-07-01
470,s4107,173,1.2,2018-04-01
471,s2778,18,9.5,2022-03-01
472,s3194,188,5.2,2019-03-01
473,s267,299,7.7,2022-06-01
474,s188,190,4.0,2020-02-01
475,s7097,332,8.5,2018-04-01
476,s7043,423,1.2,2018-04-01
477,s7314,212,9.6,2021-06-01
478,s3107,478,1.6,2020-11-01
479,s7805,459,9.7,2018-02-01
480,s4645,471,3.6,2023-11-01
481,s371,81,7.4,2023-08-01
482,s2809,390,5.0,2023-10-01
483,s4515,55,9.8,2018-09-01
484,s3124,479,6.2,2018-07-01
485,s4631,226,7.6,2021-10-01
486,s2523,452,1.4,2022-02-01
487,s6908,237,4.5,2019-06-01
488,s2305,173,2.9,2019-02-01
489,s1710,431,7.2,2023-06-01
490,s698,258,3.4,2020-09-01
491,s5724,358,6.0,2021-03-01
492,s869,465,5.0,2022-07-01
493,s6294,391,3.3,2018-04-01
494,s5507,334,1.1,2018-04-01
495,s4905,56,4.6,2020-07-01
496,s5236,295,4.2,2019-02-01
497,s5115,58,3.0,2018-04-01
498,s4708,178,1.6,2021-05-01
499,s1636,200,4.9,2019-09-01
500,s4976,147,1.2,2019-03-01
501,s1977,18,9.7,2023-04-01
502,s1694,489,7.4,2019-10-01
503,s8241,212,3.8,2020-11-01
504,s6267,412,1.6,2023-11-01
505,s1052,52,1.1,2018-11-01
506,s8317,20,9.5,2022-09-01
507,s3348,135,6.3,2021-06-01
508,s409,370,5.1,2023-02-01
509,s5316,19,5.7,2023-09-01
510,s7044,232,8.6,2020-09-01
511,s2387,177,10.0,2021-09-01
512,s3111,30,7.6,2020-03-01
513,s5560,312,3.9,2022-04-01
514,s276,24,3.0,2023-02-01
515,s3062,374,3.9,2022-04-01
516,s195,389,7.3,2021-12-01
517,s3279,343,5.3,2023-03-01
518,s2244,455,3.7,2022-11-01
519,s4635,41,9.3,2018-11-01
520,s3539,435,1.0,2021-05-01
521,s7801,441,7.9,2023-09-01
522,s2984,297,9.9,2023-08-01
523,s4151,24,9.9,2020-11-01
524,s2528,112,2.7,2022-12-01
525,s4822,262,6.3,2019-12-01
526,s344,54,7.2,2022-03-01
527,s7150,151,6.2,2021-02-01
528,s6584,391,8.8,2022-11-01
529,s1552,402,8.2,2023-03-01
530,s6531,321,2.4,2019-01-01
531,s8665,8,7.5,2021-02-01
532,s2571,326,4.7,2022-07-01
533,s1309,4,6.8,2021-04-01
534,s2754,136,2.2,2023-03-01
535,s7174,123,3.4,2022-03-01
536,s407,47,3.8,2019-09-01
537,s4253,418,1.2,2020-04-01
538,s148,10,9.6,2018-12-01
539,s3327,374,2.3,2023-09-01
540,s3864,298,1.3,2021-08-01
541,s3621,62,5.0,2019-10-01
542,s415,142,5.5,2022-05-01
543,s2148,52,7.2,2020-06-01
544,s7008,98,9.7,2020-08-01
545,s1918,236,6.3,2022-06-01
546,s1825,252,9.9,2020-05-01
547,s3827,162,1.9,2018-04-01
548,s8466,178,7.8,2020-07-01
549,s3372,350,4.7,2020-01-01
550,s4473,138,4.0,2022-05-01
551,s2167,370,3.1,2022-11-01
552,s6216,31,1.7,2018-02-01
553,s2428,138,3.4,2023-04-01
554,s1594,46,5.1,2022-02-01
555,s8649,227,6.8,2020-12-01
556,s6746,203,4.4,2022-05-01
557,s3840,339,1.8,2018-06-01
558,s3721,225,1.1,2022-07-01
559,s693,310,3.8,2023-01-01
560,s98,452,6.0,2018-11-01
561,s4271,377,1.8,2020-06-01
562,s4890,197,3.0,2023-10-01
563,s5574,157,1.0,2019-10-01
564,s222,116,2.9,2021-04-01
565,s5420,368,6.2,2023-07-01
566,s8758,291,6.1,2019-03-01
567,s8230,325,2.2,2021-11-01
568,s260,46,2.1,2018-05-01
569,s6545,245,7.2,2021-02-01
570,s4504,116,1.1,2022-07-01
571,s3730,295,1.4,2021-11-01
572,s2931,28,4.2,2022-09-01
573,s1919,259,2.0,2023-11-01
574,s1381,69,3.4,2022-01-01
575,s4570,287,5.6,2020-01-01
576,s8358,212,8.5,2021-09-01
577,s8514,2,1.1,2022-04-01
578,s4363,467,1.3,2019-02-01
579,s4321,271,9.6,2023-11-01
580,s3819,23,7.4,2022-11-01
581,s1608,37,7.0,2023-01-01
582,s6875,56,5.7,2021-08-01
583,s7845,146,2.7,2018-02-01
584,s1803,452,2.9,2019-11-01
585,s1478,422,9.0,2019-06-01
586,s3024,172,3.0,2021-12-01
587,s5883,290,2.3,2022-11-01
588,s8431,469,9.9,2022-02-01
589,s8738,149,2.3,2018-10-01
590,s7629,83,2.4,2020-07-01
591,s6632,189,9.0,2019-10-01
592,s894,112,9.6,2020-03-01
593,s5171,344,6.5,2020-06-01
594,s4080,141,3.5,2019-07-01
595,s2901,302,9.0,2022-06-01
596,s4019,279,4.6,2018-06-01
597,s4609,472,4.5,2019-04-01
598,s3263,385,8.5,2022-04-01
599,s6331,196,3.0,2023-11-01
600,s7942,40,1.9,2020-12-01
601,s7361,64,5.0,2022-11-01
602,s680,111,1.1,2022-01-01
603,s7919,139,5.5,2019-04-01
604,s2297,123,5.6,2021-10-01
605,s7732,103,2.1,2022-10-01
606,s6717,9,5.5,2020-01-01
607,s2472,221,3.1,2020-09-01
608,s2417,190,5.4,2023-07-01
609,s6571,283,4.4,2023-08-01
610,s1500,4,1.6,2022-04-01
611,s315,231,3.8,2023-01-01
612,s6837,399,2.8,2023-12-01
613,s4793,28,1.7,2018-02-01
614,s4721,168,7.1,2018-07-01
615,s729,187,2.3,2023-09-01
616,s6528,92,1.5,2023-06-01
617,s714,139,9.4,2019-04-01
618,s3539,212,3.9,2022-01-01
619,s7622,197,6.7,2023-09-01
620,s6270,173,6.2,2019-10-01
621,s577,15,7.2,2019-07-01
622,s3535,51,6.9,2021-04-01
623,s2681,486,4.7,2020-05-01
624,s8240,277,9.3,2019-04-01
625,s659,28,2.1,2019-10-01
626,s4396,56,4.9,2022-11-01
627,s1325,479,2.6,2021-12-01
628,s1092,159,2.8,2023-07-01
629,s6392,2,1.5,2021-03-01
630,s5422,118,1.1,2020-06-01
631,s613,474,8.6,2021-12-01
632,s4781,160,8.2,2021-04-01
633,s3242,62,9.3,2023-11-01
634,s7943,422,1.9,2021-01-01
635,s32,264,5.0,2020-02-01
636,s833,332,6.7,2021-02-01
637,s4873,418,3.1,2022-08-01
638,s4233,72,9.3,2020-09-01
639,s4236,226,9.0,2022-08-01
640,s5982,60,8.3,2023-04-01
641,s6762,457,9.9,2022-01-01
642,s6821,132,8.3,2018-08-01
643,s157,144,4.1,2021-10-01
644,s6775,460,7.5,2022-09-01
645,s4857,378,5.5,2022-10-01
646,s2682,46,9.1,2019-05-01
647,s2206,357,2.7,2020-05-01
648,s5104,150,2.5,2021-02-01
649,s5279,243,6.9,2018-09-01
650,s26,225,3.6,2021-07-01
651,s4768,251,4.1,2023-03-01
652,s8269,434,8.0,2018-08-01
653,s4559,67,8.6,2020-05-01
654,s965,106,6.7,2023-09-01
655,s7564,334,2.0,2023-02-01
656,s3088,308,2.7,2020-09-01
657,s6709,330,1.8,2018-01-01
658,s3836,236,8.4,2019-12-01
659,s5963,500,4.5,2021-08-01
660,s8311,149,6.1,2022-02-01
661,s2189,409,6.5,2018-05-01
662,s8174,141,6.5,2018-05-01
663,s2813,321,7.3,2020-03-01
664,s2502,402,3.1,2019-06-01
665,s2114,491,3.4,2019-04-01
666,s714,460,1.0,2020-08-01
667,s595,457,6.9,2022-09-01
668,s3268,309,7.5,2022-04-01
669,s3625,165,8.0,2022-10-01
670,s980,396,8.1,2018-06-01
671,s787,413,6.6,2019-10-01
672,s5641,227,6.8,2018-03-01
673,s3809,29,7.9,2022-04-01
674,s831,103,1.3,2018-03-01
675,s5496,337,6.5,2021-12-01
676,s7610,117,3.8,2019-06-01
677,s821,38,5.9,2020-12-01
678,s8114,83,9.8,2021-11-01
679,s1795,131,4.9,2020-01-01
680,s7312,364,2.4,2019-04-01
681,s7664,295,5.1,2018-12-01
682,s5088,374,4.8,2020-12-01
683,s5994,424,1.1,2019-09-01
684,s3129,463,4.7,2020-04-01
685,s706,484,4.0,2023-04-01
686,s1749,114,2.3,2022-06-01
687,s715,269,1.4,2023-09-01
688,s2327,223,2.1,2023-11-01
689,s2696,495,3.6,2023-10-01
690,s998,287,9.7,2022-04-01
691,s6830,324,4.1,2018-11-01
692,s3059,16,4.5,2020-03-01
693,s3779,133,2.1,2023-03-01
694,s3119,204,9.5,2019-01-01
695,s5190,465,8.1,2023-05-01
696,s6962,459,8.4,2023-03-01
697,s782,384,8.6,2018-04-01
698,s2645,40,3.9,2018-08-01
699,s4705,17,1.8,2021-04-01
700,s1558,304,8.5,2019-03-01
701,s7362,216,4.5,2020-04-01
702,s3167,244,8.6,2018-01-01
703,s2698,83,4.9,2021-02-01
704,s5942,242,7.9,2020-02-01
705,s8185,343,9.9,2018-05-01
706,s851,29,8.6,2021-03-01
707,s5336,422,9.6,2023-11-01
708,s6816,22,3.8,2021-07-01
709,s8496,13,3.3,2022-02-01
710,s2923,181,7.6,2022-06-01
711,s1182,27,2.4,2020-02-01
712,s6265,154,4.0,2023-09-01
713,s8162,162,1.7,2023-01-01
714,s6020,163,9.5,2020-10-01
715,s2248,401,4.1,2021-07-01
716,s4259,110,9.4,2020-02-01
717,s4572,475,6.1,2018-11-01
718,s4627,145,3.2,2019-04-01
719,s4808,239,8.5,2020-08-01
720,s8440,479,7.0,2018-06-01
721,s737,73,8.7,2023-02-01
722,s1966,197,4.8,2018-06-01
723,s7455,259,3.6,2019-04-01
724,s2581,203,4.5,2019-12-01
725,s2513,113,5.6,2022-01-01
726,s2029,364,4.3,2022-12-01
727,s4828,72,4.8,2020-10-01
728,s2936,101,1.3,2022-01-01
729,s4340,237,2.7,2022-06-01
730,s7248,496,4.4,2021-11-01
731,s7800,207,8.0,2020-07-01
732,s8260,133,3.0,2022-04-01
733,s6143,257,3.2,2021-05-01
734,s6137,129,10.0,2022-10-01
735,s3590,483,3.8,2021-04-01
736,s5293,82,4.4,2020-12-01
737,s574,432,2.3,2023-06-01
738,s2957,466,6.6,2019-10-01
739,s8707,210,2.2,2020-08-01
