@relation wekadata

@attribute id numeric
@attribute name numeric
@attribute login_date numeric
@attribute country numeric
@attribute num_visualizaciones numeric
@attribute media_valoraciones numeric

@data
27,User 27,2023-04-23 16:40:06.762095,Japan,50,4.8660000000000005
28,User 28,2023-04-12 16:40:06.762095,France,59,5.1440677966101696
29,User 29,2023-04-24 16:40:06.762095,Spain,55,5.832727272727272
30,User 30,2023-04-17 16:40:06.762095,Germany,54,5.724074074074074
31,User 31,2023-04-01 16:40:06.762095,USA,51,5.962745098039216
32,User 32,2023-04-11 16:40:06.762095,Germany,55,5.229090909090909
33,User 33,2023-03-29 16:40:06.762095,France,43,5.451162790697674
34,User 34,2023-04-09 16:40:06.762095,Japan,54,5.750000000000001
35,User 35,2023-04-01 16:40:06.762095,Japan,50,5.3580000000000005
36,User 36,2023-04-11 16:40:06.762095,Germany,43,5.574418604651164
37,User 37,2023-04-24 16:40:06.762095,USA,54,5.59074074074074
38,User 38,2023-04-04 16:40:06.762095,France,41,6.139024390243904
39,User 39,2023-04-05 16:40:06.762095,France,69,5.366666666666666
40,User 40,2023-04-18 16:40:06.762095,France,45,5.620000000000001
41,User 41,2023-04-19 16:40:06.762095,Spain,53,5.739622641509434
42,User 42,2023-04-22 16:40:06.762095,Germany,49,5.669387755102043
43,User 43,2023-04-18 16:40:06.762095,Germany,57,5.307017543859648
44,User 44,2023-04-13 16:40:06.762095,Japan,43,5.679069767441859
45,User 45,2023-04-11 16:40:06.762095,France,46,5.058695652173913
46,User 46,2023-04-01 16:40:06.763861,Japan,45,6.244444444444445
47,User 47,2023-04-08 16:40:06.763861,Germany,50,5.406000000000001
48,User 48,2023-03-29 16:40:06.763861,France,37,4.462162162162162
49,User 49,2023-03-29 16:40:06.763861,Japan,55,5.829090909090909
50,User 50,2023-03-30 16:40:06.763861,Japan,39,5.93076923076923
51,User 51,2023-04-15 16:40:06.763861,USA,51,5.147058823529413
52,User 52,2023-04-10 16:40:06.763861,USA,59,5.145762711864407
53,User 53,2023-04-12 16:40:06.763861,Germany,57,5.8052631578947365
54,User 54,2023-04-14 16:40:06.763861,Japan,53,5.509433962264152
55,User 55,2023-04-03 16:40:06.763861,USA,37,5.313513513513514
56,User 56,2023-04-07 16:40:06.763861,Japan,46,5.841304347826088
57,User 57,2023-04-26 16:40:06.763861,Spain,56,5.416071428571428
58,User 58,2023-04-25 16:40:06.763861,Germany,61,5.79016393442623
59,User 59,2023-04-22 16:40:06.763861,Spain,50,5.7620000000000005
60,User 60,2023-04-09 16:40:06.763861,Germany,45,5.5200000000000005
61,User 61,2023-04-20 16:40:06.763861,Germany,53,5.377358490566037
62,User 62,2023-04-25 16:40:06.763861,France,50,5.56
63,User 63,2023-04-13 16:40:06.763861,Japan,60,5.676666666666667
64,User 64,2023-04-14 16:40:06.763861,France,60,5.335
65,User 65,2023-04-03 16:40:06.763861,Spain,59,5.6440677966101696
66,User 66,2023-04-13 16:40:06.763861,France,49,5.336734693877551
67,User 67,2023-03-29 16:40:06.763861,France,55,5.763636363636364
68,User 68,2023-04-06 16:40:06.763861,France,55,5.501818181818181
69,User 69,2023-04-02 16:40:06.763861,France,52,5.573076923076922
70,User 70,2023-04-11 16:40:06.763861,USA,51,5.143137254901962
71,User 71,2023-04-12 16:40:06.763861,Spain,44,6.031818181818182
72,User 72,2023-03-30 16:40:06.763861,Japan,48,5.76875
73,User 73,2023-03-30 16:40:06.763861,Japan,45,5.7444444444444445
74,User 74,2023-04-10 16:40:06.763861,Germany,60,5.7700000000000005
75,User 75,2023-04-18 16:40:06.763861,Japan,51,5.149019607843138
76,User 76,2023-04-08 16:40:06.763861,USA,48,5.329166666666667
77,User 77,2023-04-25 16:40:06.763861,Japan,48,5.622916666666666
78,User 78,2023-04-03 16:40:06.763861,Spain,49,5.777551020408164
79,User 79,2023-04-21 16:40:06.763861,Spain,38,5.597368421052632
80,User 80,2023-04-02 16:40:06.763861,France,47,5.525531914893618
81,User 81,2023-04-15 16:40:06.763861,USA,44,5.361363636363636
82,User 82,2023-04-10 16:40:06.763861,Germany,56,5.974999999999999
83,User 83,2023-03-31 16:40:06.763861,France,47,5.821276595744679
84,User 84,2023-04-21 16:40:06.763861,USA,44,5.790909090909091
85,User 85,2023-04-13 16:40:06.763861,Spain,49,5.397959183673467
86,User 86,2023-04-17 16:40:06.763861,France,51,5.527450980392157
87,User 87,2023-04-04 16:40:06.763861,USA,55,5.7200000000000015
88,User 88,2023-04-13 16:40:06.763861,Spain,63,5.30952380952381
89,User 89,2023-04-16 16:40:06.763861,Spain,74,5.205405405405406
90,User 90,2023-03-29 16:40:06.763861,Spain,60,5.198333333333332
91,User 91,2023-04-03 16:40:06.763861,France,56,6.116071428571428
92,User 92,2023-04-23 16:40:06.763861,Germany,43,5.865116279069769
93,User 93,2023-04-17 16:40:06.763861,USA,44,5.231818181818183
94,User 94,2023-03-31 16:40:06.763861,France,45,5.008888888888889
95,User 95,2023-04-03 16:40:06.763861,USA,54,5.764814814814814
96,User 96,2023-04-09 16:40:06.763861,France,32,5.825
97,User 97,2023-04-13 16:40:06.763861,Spain,46,4.88913043478261
98,User 98,2023-04-11 16:40:06.763861,France,72,5.191666666666666
99,User 99,2023-04-06 16:40:06.763861,USA,46,6.210869565217391
100,User 100,2023-04-03 16:40:06.763861,Spain,41,5.26829268292683
101,User 101,2023-04-21 16:40:06.763861,Germany,52,5.853846153846154
102,User 102,2023-04-22 16:40:06.763861,Spain,34,5.538235294117648
103,User 103,2023-04-14 16:40:06.763861,Japan,56,5.494642857142857
104,User 104,2023-04-21 16:40:06.763861,USA,51,6.313725490196076
105,User 105,2023-03-28 16:40:06.763861,France,55,5.112727272727272
106,User 106,2023-04-12 16:40:06.763861,Japan,46,5.399999999999999
107,User 107,2023-04-04 16:40:06.763861,France,39,6.143589743589744
108,User 108,2023-04-25 16:40:06.763861,USA,48,5.6625000000000005
109,User 109,2023-04-21 16:40:06.763861,Spain,49,5.881632653061224
110,User 110,2023-04-15 16:40:06.763861,Germany,47,5.538297872340426
111,User 111,2023-04-25 16:40:06.763861,France,49,5.059183673469388
112,User 112,2023-04-11 16:40:06.763861,Germany,55,6.214545454545455
113,User 113,2023-04-14 16:40:06.763861,Germany,44,5.3159090909090905
114,User 114,2023-04-12 16:40:06.763861,USA,49,5.8
115,User 115,2023-04-24 16:40:06.763861,Japan,60,6.011666666666667
116,User 116,2023-04-23 16:40:06.763861,Germany,39,5.769230769230769
117,User 117,2023-04-05 16:40:06.763861,USA,53,5.628301886792454
118,User 118,2023-03-29 16:40:06.763861,Japan,56,5.910714285714285
119,User 119,2023-04-24 16:40:06.763861,USA,58,5.775862068965515
120,User 120,2023-04-08 16:40:06.763861,Germany,54,5.505555555555555
121,User 121,2023-03-28 16:40:06.763861,Germany,59,5.738983050847458
122,User 122,2023-04-25 16:40:06.763861,France,59,5.228813559322033
123,User 123,2023-04-19 16:40:06.763861,Germany,61,4.650819672131147
124,User 124,2023-04-14 16:40:06.763861,USA,64,5.978124999999999
125,User 125,2023-04-21 16:40:06.763861,Japan,52,5.398076923076923
126,User 126,2023-04-15 16:40:06.763861,USA,53,5.830188679245282
127,User 127,2023-03-29 16:40:06.763861,Japan,50,5.876000000000001
128,User 128,2023-04-01 16:40:06.763861,Spain,53,5.645283018867922
129,User 129,2023-04-26 16:40:06.763861,Spain,51,6.0666666666666655
130,User 130,2023-04-10 16:40:06.763861,Germany,53,5.715094339622644
131,User 131,2023-04-23 16:40:06.763861,Japan,51,5.627450980392156
132,User 132,2023-04-12 16:40:06.763861,Japan,71,5.65492957746479
133,User 133,2023-04-02 16:40:06.763861,Spain,64,6.1421875
134,User 134,2023-04-11 16:40:06.763861,France,39,5.343589743589744
135,User 135,2023-04-23 16:40:06.763861,Spain,41,5.158536585365853
136,User 136,2023-04-21 16:40:06.763861,France,53,5.245283018867926
137,User 137,2023-04-04 16:40:06.763861,Spain,59,5.48135593220339
138,User 138,2023-04-11 16:40:06.764191,Japan,41,5.426829268292683
139,User 139,2023-04-14 16:40:06.764191,Japan,59,5.316949152542373
140,User 140,2023-04-19 16:40:06.764191,Spain,56,5.503571428571428
141,User 141,2023-04-10 16:40:06.764191,Japan,44,5.768181818181818
142,User 142,2023-04-26 16:40:06.764191,Japan,46,5.895652173913043
143,User 143,2023-04-05 16:40:06.764191,USA,50,5.316
144,User 144,2023-04-20 16:40:06.764191,USA,54,6.12037037037037
145,User 145,2023-04-17 16:40:06.764191,Japan,70,6.232857142857142
146,User 146,2023-03-30 16:40:06.764191,Spain,43,4.783720930232558
147,User 147,2023-04-20 16:40:06.764191,Germany,60,5.439999999999999
148,User 148,2023-04-21 16:40:06.764191,USA,51,5.798039215686272
149,User 149,2023-03-28 16:40:06.764191,Japan,47,5.595744680851064
150,User 150,2023-04-23 16:40:06.764191,USA,41,5.602439024390245
151,User 151,2023-04-12 16:40:06.764191,USA,59,5.4322033898305095
152,User 152,2023-04-16 16:40:06.764191,Germany,50,5.4
153,User 153,2023-03-31 16:40:06.764191,USA,48,4.760416666666667
154,User 154,2023-04-19 16:40:06.764191,France,57,5.221052631578948
155,User 155,2023-04-07 16:40:06.764191,Spain,48,5.456250000000001
156,User 156,2023-03-27 16:40:06.764191,Japan,44,5.3500000000000005
157,User 157,2023-03-29 16:40:06.764191,Germany,57,5.752631578947367
158,User 158,2023-04-12 16:40:06.764191,Japan,38,5.66842105263158
159,User 159,2023-04-25 16:40:06.764191,Germany,43,4.890697674418606
160,User 160,2023-04-18 16:40:06.764191,USA,46,5.795652173913044
161,User 161,2023-04-11 16:40:06.764191,Japan,57,5.598245614035088
162,User 162,2023-04-17 16:40:06.764191,Spain,53,5.981132075471697
163,User 163,2023-04-14 16:40:06.764191,Germany,43,5.258139534883721
164,User 164,2023-04-14 16:40:06.764191,Japan,41,5.956097560975611
165,User 165,2023-04-11 16:40:06.764191,Spain,53,5.473584905660377
166,User 166,2023-04-08 16:40:06.764191,USA,62,6.030645161290323
167,User 167,2023-03-27 16:40:06.764191,USA,50,5.56
168,User 168,2023-04-16 16:40:06.764191,Spain,56,5.114285714285714
169,User 169,2023-03-27 16:40:06.764191,USA,59,5.4711864406779664
170,User 170,2023-04-05 16:40:06.764191,Japan,53,5.58490566037736
171,User 171,2023-03-29 16:40:06.764191,Japan,55,5.749090909090908
172,User 172,2023-04-12 16:40:06.764191,Japan,58,5.58793103448276
173,User 173,2023-04-15 16:40:06.764191,Japan,49,5.342857142857143
174,User 174,2023-04-08 16:40:06.764191,Spain,58,5.603448275862069
175,User 175,2023-03-31 16:40:06.764191,Spain,48,4.914583333333334
176,User 176,2023-04-16 16:40:06.764191,Germany,35,5.788571428571429
177,User 177,2023-04-06 16:40:06.764191,France,54,5.925925925925927
178,User 178,2023-04-24 16:40:06.764191,USA,45,5.011111111111111
179,User 179,2023-04-10 16:40:06.764191,Germany,51,5.3725490196078445
180,User 180,2023-03-30 16:40:06.764191,Japan,40,5.44
181,User 181,2023-04-02 16:40:06.764191,Germany,57,5.443859649122807
182,User 182,2023-04-07 16:40:06.764191,Japan,45,5.122222222222223
183,User 183,2023-04-18 16:40:06.764191,Germany,58,5.596551724137931
184,User 184,2023-03-29 16:40:06.764191,Spain,53,5.845283018867922
185,User 185,2023-04-10 16:40:06.764191,Germany,42,5.842857142857143
186,User 186,2023-04-02 16:40:06.764191,Spain,44,6.056818181818182
187,User 187,2023-03-27 16:40:06.764191,Spain,43,6.204651162790699
188,User 188,2023-04-01 16:40:06.764191,Japan,56,5.2375
189,User 189,2023-03-31 16:40:06.764191,USA,55,5.667272727272727
190,User 190,2023-04-13 16:40:06.764191,USA,60,6.1933333333333325
191,User 191,2023-04-14 16:40:06.764191,Spain,51,5.7333333333333325
192,User 192,2023-03-29 16:40:06.764191,Germany,58,5.820689655172415
193,User 193,2023-04-03 16:40:06.764191,Spain,42,5.428571428571429
194,User 194,2023-04-26 16:40:06.764191,Germany,49,5.704081632653061
195,User 195,2023-04-11 16:40:06.764191,Japan,49,5.722448979591835
196,User 196,2023-03-29 16:40:06.764191,Japan,54,5.8537037037037045
197,User 197,2023-04-23 16:40:06.764191,Germany,52,5.832692307692308
198,User 198,2023-04-22 16:40:06.764191,Japan,42,5.7333333333333325
199,User 199,2023-04-01 16:40:06.764191,USA,47,5.36595744680851
200,User 200,2023-04-18 16:40:06.764191,France,58,5.710344827586206
201,User 201,2023-04-03 16:40:06.764191,Germany,52,5.6923076923076925
202,User 202,2023-04-17 16:40:06.764191,Spain,59,5.566101694915254
203,User 203,2023-03-29 16:40:06.764191,USA,64,5.6703125
204,User 204,2023-03-30 16:40:06.764191,Germany,42,5.935714285714285
205,User 205,2023-04-20 16:40:06.764191,USA,63,5.476190476190475
206,User 206,2023-03-28 16:40:06.764191,Germany,56,5.355357142857143
207,User 207,2023-04-10 16:40:06.764191,Spain,40,5.477499999999999
208,User 208,2023-03-28 16:40:06.764191,Germany,58,5.467241379310344
209,User 209,2023-03-28 16:40:06.764191,Germany,47,4.87872340425532
210,User 210,2023-04-06 16:40:06.764191,Spain,50,5.126
211,User 211,2023-04-01 16:40:06.764191,USA,50,5.97
212,User 212,2023-03-27 16:40:06.764191,USA,43,5.316279069767441
213,User 213,2023-03-29 16:40:06.764191,Germany,58,5.305172413793105
214,User 214,2023-04-13 16:40:06.764191,USA,53,5.592452830188678
215,User 215,2023-04-15 16:40:06.764191,Spain,52,5.198076923076924
216,User 216,2023-04-06 16:40:06.764191,Japan,45,6.073333333333335
217,User 217,2023-04-24 16:40:06.764191,USA,46,5.415217391304348
218,User 218,2023-04-06 16:40:06.764191,USA,55,5.358181818181817
219,User 219,2023-04-01 16:40:06.764191,France,54,5.112962962962962
220,User 220,2023-04-21 16:40:06.764191,Spain,47,5.193617021276594
221,User 221,2023-04-06 16:40:06.764191,USA,47,6.14255319148936
222,User 222,2023-04-06 16:40:06.764191,France,49,5.344897959183674
223,User 223,2023-04-23 16:40:06.764191,Japan,49,5.632653061224489
224,User 224,2023-04-26 16:40:06.764191,Spain,53,5.235849056603772
225,User 225,2023-04-05 16:40:06.764191,Spain,58,5.496551724137931
226,User 226,2023-03-30 16:40:06.764191,Germany,59,5.5694915254237305
227,User 227,2023-04-07 16:40:06.764191,USA,53,5.80754716981132
228,User 228,2023-04-04 16:40:06.764191,Japan,56,5.391071428571428
229,User 229,2023-04-03 16:40:06.764191,USA,51,5.776470588235296
230,User 230,2023-04-17 16:40:06.764191,Spain,48,4.9437500000000005
231,User 231,2023-04-19 16:40:06.764191,Spain,56,6.417857142857142
232,User 232,2023-04-18 16:40:06.764191,France,45,6.186666666666667
233,User 233,2023-04-04 16:40:06.764191,Spain,38,5.1342105263157904
234,User 234,2023-04-25 16:40:06.764191,France,51,5.862745098039215
235,User 235,2023-04-16 16:40:06.764191,USA,59,5.350847457627117
236,User 236,2023-04-06 16:40:06.764191,France,47,4.740425531914893
237,User 237,2023-04-12 16:40:06.764191,USA,44,5.597727272727273
238,User 238,2023-04-08 16:40:06.764191,France,58,5.929310344827586
239,User 239,2023-04-03 16:40:06.764191,Japan,38,6.123684210526316
240,User 240,2023-04-25 16:40:06.764191,USA,44,5.090909090909092
241,User 241,2023-04-01 16:40:06.764191,Spain,48,5.914583333333333
242,User 242,2023-04-15 16:40:06.764191,Germany,52,5.848076923076922
243,User 243,2023-04-13 16:40:06.764191,Japan,47,5.546808510638299
244,User 244,2023-04-16 16:40:06.764191,France,36,5.999999999999999
245,User 245,2023-04-01 16:40:06.764191,Germany,50,5.513999999999999
246,User 246,2023-03-30 16:40:06.764191,Germany,34,5.688235294117647
247,User 247,2023-03-31 16:40:06.764191,Japan,47,5.070212765957447
248,User 248,2023-04-02 16:40:06.764191,Germany,42,6.023809523809524
249,User 249,2023-04-18 16:40:06.764191,Japan,53,5.149056603773586
250,User 250,2023-04-05 16:40:06.764191,Germany,48,5.9104166666666655
251,User 251,2023-03-30 16:40:06.764191,Japan,48,5.2125
252,User 252,2023-04-06 16:40:06.764191,Spain,40,5.4725
253,User 253,2023-04-24 16:40:06.764191,USA,63,5.887301587301586
254,User 254,2023-04-25 16:40:06.764191,Germany,48,5.379166666666667
255,User 255,2023-04-25 16:40:06.764191,Japan,42,4.892857142857143
256,User 256,2023-04-15 16:40:06.764191,Japan,45,4.624444444444444
257,User 257,2023-04-22 16:40:06.764191,France,48,5.095833333333332
258,User 258,2023-04-15 16:40:06.764191,France,53,5.9056603773584895
259,User 259,2023-04-11 16:40:06.764191,Germany,49,6.002040816326531
260,User 260,2023-03-28 16:40:06.764191,France,40,5.6775
261,User 261,2023-04-18 16:40:06.764191,France,58,5.589655172413793
262,User 262,2023-04-18 16:40:06.764191,France,51,5.623529411764706
263,User 263,2023-04-26 16:40:06.764191,USA,59,5.569491525423728
264,User 264,2023-04-15 16:40:06.764191,Germany,40,6.065
265,User 265,2023-04-24 16:40:06.764191,Germany,57,4.842105263157896
266,User 266,2023-04-26 16:40:06.764191,USA,44,4.927272727272726
267,User 267,2023-04-21 16:40:06.764191,Spain,41,5.6780487804878055
268,User 268,2023-04-18 16:40:06.764191,USA,47,6.1255319148936165
269,User 269,2023-04-17 16:40:06.764191,Spain,47,5.259574468085106
270,User 270,2023-04-24 16:40:06.764191,Spain,45,5.708888888888891
271,User 271,2023-04-13 16:40:06.764191,Germany,48,5.722916666666666
272,User 272,2023-04-17 16:40:06.764191,France,46,5.22391304347826
273,User 273,2023-04-26 16:40:06.764191,Spain,40,5.3575
274,User 274,2023-04-11 16:40:06.764191,Spain,47,5.214893617021278
275,User 275,2023-04-12 16:40:06.764191,Spain,57,5.561403508771931
276,User 276,2023-04-09 16:40:06.764191,USA,55,5.6890909090909085
277,User 277,2023-03-30 16:40:06.764191,Japan,49,5.402040816326531
278,User 278,2023-04-24 16:40:06.764191,Germany,44,5.668181818181821
279,User 279,2023-04-19 16:40:06.764191,Spain,49,5.246938775510205
280,User 280,2023-04-04 16:40:06.764191,France,42,5.478571428571429
281,User 281,2023-03-28 16:40:06.764191,Spain,47,5.470212765957447
282,User 282,2023-04-01 16:40:06.764191,Spain,66,5.183333333333331
283,User 283,2023-04-03 16:40:06.764191,Spain,48,5.3
284,User 284,2023-04-04 16:40:06.764191,USA,49,5.648979591836735
285,User 285,2023-04-13 16:40:06.764191,France,56,5.558928571428573
286,User 286,2023-04-01 16:40:06.764191,France,55,5.674545454545455
287,User 287,2023-03-29 16:40:06.764191,Spain,49,5.581632653061225
288,User 288,2023-04-20 16:40:06.764191,Japan,40,5.700000000000001
289,User 289,2023-04-04 16:40:06.764191,Spain,67,5.847761194029851
290,User 290,2023-03-31 16:40:06.764191,France,63,5.246031746031746
291,User 291,2023-04-12 16:40:06.764191,France,66,5.519696969696969
292,User 292,2023-04-15 16:40:06.764191,USA,56,5.3303571428571415
293,User 293,2023-03-31 16:40:06.764191,Spain,55,5.958181818181817
294,User 294,2023-04-20 16:40:06.764191,Japan,41,5.029268292682928
295,User 295,2023-04-16 16:40:06.764191,Germany,49,5.569387755102039
296,User 296,2023-03-30 16:40:06.764191,Japan,57,5.328070175438596
297,User 297,2023-03-30 16:40:06.764191,France,43,5.155813953488373
298,User 298,2023-04-02 16:40:06.764191,Japan,50,5.57
299,User 299,2023-04-01 16:40:06.764191,France,41,5.390243902439025
300,User 300,2023-04-07 16:40:06.764191,Germany,47,5.765957446808512
